"I_D","FLAG_TSUNAMI","YEAR","MONTH","DAY","HOUR","MINUTE","SECOND","FOCAL_DEPTH","EQ_PRIMARY","EQ_MAG_MW","EQ_MAG_MS","EQ_MAG_MB","EQ_MAG_ML","EQ_MAG_MFA","EQ_MAG_UNK","INTENSITY","COUNTRY","STATE","LOCATION_NAME","LATITUDE","LONGITUDE","REGION_CODE","DEATHS","DEATHS_DESCRIPTION","MISSING","MISSING_DESCRIPTION","INJURIES","INJURIES_DESCRIPTION","DAMAGE_MILLIONS_DOLLARS","DAMAGE_DESCRIPTION","HOUSES_DESTROYED","HOUSES_DESTROYED_DESCRIPTION","HOUSES_DAMAGED","HOUSES_DAMAGED_DESCRIPTION","TOTAL_DEATHS","TOTAL_DEATHS_DESCRIPTION","TOTAL_MISSING","TOTAL_MISSING_DESCRIPTION","TOTAL_INJURIES","TOTAL_INJURIES_DESCRIPTION","TOTAL_DAMAGE_MILLIONS_DOLLARS","TOTAL_DAMAGE_DESCRIPTION","TOTAL_HOUSES_DESTROYED","TOTAL_HOUSES_DESTROYED_DESCRIPTION","TOTAL_HOUSES_DAMAGED","TOTAL_HOUSES_DAMAGED_DESCRIPTION"
"8383","","2009","6","13","17","17"," 38.2","15"," 5.4"," 5.4"," 5.1"," 5.8","","","","","KAZAKHSTAN","","KAZAKHSTAN:  TEKELI","  44.724","   78.864","40","       1","1","","","","","","1","","","","2","       1","1","","","","","","1","","","","2"
"8492","","2009","8","8","13","26"," 17.5","10"," 3.4","",""," 3.4","","","","","CHINA","","CHINA:  CHONGQING PROVINCE:  RONGCHANG","  29.358","  105.438","30","       2","1","","","         1","1","","2","440","3","440","3","       2","1","","","1","1","","2","440","3","",""
"8377","Tsu","2009","8","10","20","7","  9.1","40"," 6.4"," 6.4",""," 6.1","","","","","JAPAN","","JAPAN:  HONSHU:  S COAST","  34.743","  138.264","30","       1","1","","","       123","3","","3","","","5192","4","       1","1","","","123","3","","3","","","5192","4"
"8386","","2009","9","2","7","55","  1.0","46"," 7.0"," 7.0"," 7.0"," 6.8","","","","","INDONESIA","","INDONESIA:  JAVA","  -7.782","  107.297","170","      81","2","","","      1297","3","","3","","","","","      81","2","","","1297","3","","3","","","54000","4"
"8392","","2009","9","21","8","53","  5.9","14"," 6.1"," 6.1"," 6.1"," 6.1","","","","","BHUTAN","","BHUTAN:  TASHIGANG","  27.332","   91.437","60","      11","1","","","","","","3","","3","","3","      11","1","","","","3","","3","","3","",""
"8409","Tsu","2009","9","30","10","16","  9.2","81"," 7.5"," 7.5",""," 7.1","","","","","INDONESIA","","INDONESIA:  SUMATRA:  PADANG","   -.720","   99.867","60","    1117","4","","","      1214","4","    2200.000","4","","3","181665","4","    1117","4","","","1214","4","    2200.000","4","","3","181665","4"
"8552","","2009","10","1","1","52"," 27.3","10"," 6.6"," 6.6"," 6.7"," 5.9","","","","","INDONESIA","","INDONESIA:  SUMATRA:  SOUTHERN:  KERINCI","  -2.515","  101.501","170","       3","1","","","","","      10.000","3","","3","","3","       3","1","","","","","      10.000","3","","3","",""
"8574","","2009","10","22","19","51"," 27.5","18"," 6.1"," 6.1",""," 6.1","","","","","AFGHANISTAN","","AFGHANISTAN:  HINDU KUSH","  36.517","   70.950","40","       5","1","","","","","","1","","","","","       5","1","","","","","","1","","","",""
"8451","","2009","11","8","19","41"," 43.3","18"," 6.6"," 6.6"," 6.5"," 6.3","","","","","INDONESIA","","INDONESIA:  SUMABAWA:  BIMA","  -8.207","  118.631","170","       2","1","","","       200","3","       2.430","2","","","","","       2","1","","","200","3","       2.430","2","","","","2"
"8792","","2009","12","6","21","51"," 59.8","2"," 3.5","","","","3.5","","","","SOUTH AFRICA","","SOUTH AFRICA:  CARLETONVILLE"," -26.414","   27.494","10","       2","1","","","         3","1","","","","","","","       2","1","","","3","1","","","","","",""
"8793","","2009","12","8","3","8"," 57.2","8"," 5.9"," 5.9"," 5.9"," 5.9","","","","","MALAWI","","MALAWI:  KARONGA","  -9.948","   33.878","10","       1","1","","","        15","1","","3","","","","","       1","1","","","15","1","","3","","","3000","4"
"8632","","2009","12","19","23","19"," 15.5","6"," 6.0"," 6.0"," 6.0"," 6.0","","","","","MALAWI","","MALAWI:  KARONGA"," -10.108","   33.818","10","       3","1","","","       250","3","","3","1111","4","1111","4","       3","1","","","250","3","","3","1111","4","3565","4"
"8992","","2010","1","10","0","25","  4.2","65"," 5.1","",""," 5.1","","","","","INDONESIA","","INDONESIA:  JAVA:  GARUT","  -7.907","  107.879","60","       1","1","","","         2","1","","","","","","","       1","1","","","2","1","","","","","",""
"8732","Tsu","2010","1","12","21","53"," 10.0","13"," 7.0"," 7.0"," 7.3"," 6.8","","","","","HAITI","","HAITI:  PORT-AU-PRINCE","  18.457","  -72.533","90","  316000","4","","","     30000","4","    8000.000","4","97294","4","188383","4","  316000","4","","","300000","4","    8000.000","4","97294","4","188383","4"
"8995","","2010","1","17","9","37"," 26.1","27"," 4.4","",""," 4.4","","","","","CHINA","","CHINA:  GUIZHOU PROVINCE","  25.558","  105.804","30","       7","1","1","","         9","1","","","","","","","       7","1","1","1","9","1","","","","","",""
"8752","","2010","1","30","21","36"," 58.0","10"," 4.7",""," 4.7"," 5.1","","","","","CHINA","","CHINA:  SICHUAN PROVINCE: MOXI","  30.268","  105.668","30","       1","1","","","        15","1","","2","200","3","200","3","       1","1","","","15","1","","2","200","3","",""
"8872","Tsu","2010","2","27","6","34"," 11.5","23"," 8.8"," 8.8"," 8.5"," 7.2","","","","9","CHILE","","CHILE:  MAULE, CONCEPCION, TALCAHUANO"," -36.122","  -72.898","160","     402","3","","","     12000","4","   30000.000","4","","","500000","4","     558","3","","","12000","4","   30000.000","4","","","500000","4"
"9053","","2010","2","27","15","45"," 37.0","10"," 6.3","",""," 6.3","","","","","ARGENTINA","","ARGENTINA:  SALTA"," -24.872","  -65.602","160","       2","1","","","         2","1","","","","","","","       2","1","","","2","1","","","","","",""
"8892","","2010","3","8","2","32"," 34.7","12"," 6.1"," 6.1"," 6.0"," 5.9","","","","","TURKEY","","TURKEY:  ELAZIG PROVINCE:  OKCULAR, YUKARI DEMIRCI","  38.864","   39.986","140","      51","2","","","       100","2","","2","287","3","287","3","      51","2","","","100","2","","2","287","3","700","3"
